Designator,Mid X,Mid Y,Layer,Rotation
C1,124.0000mm,-114.0000mm,Top,180
C2,124.0000mm,-120.5000mm,Top,0
C3,124.0000mm,-124.0000mm,Top,0
C4,178.0000mm,-112.0000mm,Top,90
C5,178.0000mm,-117.0000mm,Top,90
D1,116.0000mm,-154.0000mm,Top,0
D2,135.0000mm,-154.0000mm,Top,0
D3,154.0000mm,-154.0000mm,Top,0
D4,173.0000mm,-154.0000mm,Top,0
D5,192.0000mm,-154.0000mm,Top,0
D6,211.0000mm,-154.0000mm,Top,0
D11,121.5000mm,-148.0000mm,Top,0
D12,140.5000mm,-148.0000mm,Top,0
D13,159.5000mm,-148.0000mm,Top,0
D14,178.5000mm,-148.0000mm,Top,0
D15,197.5000mm,-148.0000mm,Top,0
D16,216.5000mm,-148.0000mm,Top,0
J1,107.0000mm,-112.0000mm,Top,270
J2,186.4400mm,-125.2400mm,Top,90
J3,186.4400mm,-110.0000mm,Top,90
J11,114.7500mm,-162.0000mm,Top,0
J12,133.7500mm,-162.0000mm,Top,0
J13,152.7500mm,-162.0000mm,Top,0
J14,171.7500mm,-162.0000mm,Top,0
J15,190.7500mm,-162.0000mm,Top,0
J16,209.7500mm,-162.0000mm,Top,0
Q1,115.0000mm,-146.0000mm,Top,180
Q2,134.0000mm,-146.0000mm,Top,180
Q3,153.0000mm,-146.0000mm,Top,180
Q4,172.0000mm,-146.0000mm,Top,180
Q5,191.0000mm,-146.0000mm,Top,180
Q6,210.0000mm,-146.0000mm,Top,180
R1,117.5000mm,-138.0000mm,Top,270
R2,136.5000mm,-138.0000mm,Top,270
R3,155.5000mm,-138.0000mm,Top,270
R4,174.5000mm,-138.0000mm,Top,270
R5,193.5000mm,-138.0000mm,Top,270
R6,212.5000mm,-138.0000mm,Top,270
R11,111.5000mm,-140.0000mm,Top,270
R12,130.5000mm,-140.0000mm,Top,270
R13,149.5000mm,-140.0000mm,Top,270
R14,168.5000mm,-140.0000mm,Top,270
R15,187.5000mm,-140.0000mm,Top,270
R16,206.5000mm,-140.0000mm,Top,270
R21,121.5000mm,-143.0000mm,Top,0
R22,140.5000mm,-143.0000mm,Top,0
R23,159.5000mm,-143.0000mm,Top,0
R24,178.5000mm,-143.0000mm,Top,0
R25,197.5000mm,-143.0000mm,Top,0
R26,216.5000mm,-143.0000mm,Top,0
